 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 1.0173691999999999e-05 9.301966e-06 1.2807086e-05 1.0483250000000002e-05 8.945179999999999e-06 8.8262e-06 9.158820000000001e-06 1.0867272e-05 9.020828e-06 1.0153963999999998e-05 9.441428e-06 1.0344212e-05 8.652796e-06 8.239010000000001e-06 9.116380000000002e-06 8.571524e-06 1.0854566e-05 9.908082000000002e-06 1.0499464e-05 7.591484000000001e-06 7.707212e-06 8.769476e-06 8.925085999999999e-06 9.874248e-06 1.0879166e-05 1.1624e-05 1.3474851999999997e-05 9.524578e-06 9.645974000000001e-06 8.540524e-06 9.387008e-06 1.1202222000000001e-05 1.0817336e-05 8.844414000000001e-06 8.372682e-06 1.1439047999999998e-05 1.2900374000000002e-05 8.232492e-06 8.027914e-06 1.1471428e-05 7.128076000000001e-06 6.142701999999999e-06 1.2789281999999997e-05 8.19847e-06 8.202484e-06 9.804060000000002e-06 9.341014e-06 9.02497e-06 9.41233e-06 7.419492e-06 1.2237703999999999e-05 1.1920674000000001e-05 9.654825999999999e-06 7.413964e-06 1.0301218000000001e-05 8.34e-06 9.255466e-06 9.508663999999999e-06 0.0
2 0.0 0.0 1.0926135999999999e-05 9.810284000000001e-06 9.32233e-06 9.068188e-06 1.0248248e-05 9.267271999999999e-06 9.946755999999999e-06 8.882852e-06 8.723315999999999e-06 9.826444000000002e-06 8.496089999999999e-06 1.0166346e-05 1.1590186000000001e-05 8.925274e-06 9.064054e-06 8.539372000000002e-06 1.1084248e-05 1.0969928e-05 8.682001999999998e-06 1.0977204000000001e-05 1.1164686e-05 9.227480000000001e-06 9.830358e-06 1.171992e-05 1.1571467999999998e-05 1.1546038000000002e-05 1.1125008e-05 8.575806e-06 7.68681e-06 8.633632e-06 7.1009579999999995e-06 8.670252000000001e-06 1.0027407999999998e-05 7.459217999999999e-06 1.1288161999999999e-05 8.563172e-06 9.604538e-06 7.682968e-06 1.7169803999999997e-05 5.886986e-06 6.9495399999999995e-06 7.371854e-06 1.085647e-05 8.626394e-06 8.903968e-06 7.003719999999999e-06 1.3200312e-05 1.0418315999999999e-05 1.140949e-05 8.844475999999999e-06 8.533238e-06 9.880698e-06 8.250598e-06 8.821708e-06 1.1229954e-05 1.0691269999999998e-05 0.0 0.0
4 0.0 0.0 0.0 1.0208705999999999e-05 9.324186e-06 9.793886e-06 8.640475999999999e-06 9.404352e-06 1.1948016e-05 8.542366e-06 1.1222805999999998e-05 9.733022e-06 7.875489999999999e-06 1.0904791999999999e-05 1.0181888e-05 1.243373e-05 7.989279999999998e-06 9.601308e-06 1.1417563999999999e-05 8.989954e-06 9.436841999999999e-06 1.1073665999999999e-05 8.33723e-06 1.1662974e-05 9.730427999999999e-06 1.0373450000000001e-05 8.175055999999999e-06 9.29626e-06 9.092587999999999e-06 1.0627029999999999e-05 9.655364e-06 1.3000522e-05 6.525980000000001e-06 1.0619538000000001e-05 1.5412924000000002e-05 1.0652975999999999e-05 8.178208000000001e-06 8.712958000000001e-06 4.832058000000001e-06 5.228142e-06 9.044905999999998e-06 8.206306e-06 8.87569e-06 6.454989999999999e-06 1.0900756e-05 8.527028e-06 1.3462286e-05 1.098712e-05 8.383788000000001e-06 1.1302218e-05 1.4244768000000002e-05 1.1233852000000001e-05 9.885817999999999e-06 9.184326e-06 1.1406336e-05 1.0161865999999999e-05 1.0626008000000001e-05 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 8.546476e-06 1.0752820000000001e-05 9.033334e-06 1.5702742e-05 1.0190030000000001e-05 8.13762e-06 9.270382e-06 9.183364e-06 8.498158e-06 1.0272139999999999e-05 1.0591872e-05 8.54988e-06 9.427447999999999e-06 1.2300817999999998e-05 8.874098000000002e-06 1.0868558000000001e-05 9.104768000000002e-06 1.0923096000000001e-05 7.89675e-06 8.79015e-06 8.727251999999999e-06 7.5351999999999994e-06 8.213468000000001e-06 1.3131719999999998e-05 1.1613682000000001e-05 9.013334e-06 7.215226e-06 9.88036e-06 9.308572000000001e-06 5.93273e-06 9.243536e-06 7.874636000000001e-06 7.2899039999999996e-06 9.195352e-06 1.2392382e-05 6.190988e-06 6.69738e-06 7.09639e-06 6.489722e-06 6.494075999999999e-06 6.0843500000000005e-06 6.62379e-06 1.1981970000000001e-05 1.1403438e-05 9.615226e-06 6.474998e-06 1.0561700000000001e-05 8.513106000000001e-06 6.957114e-06 9.128612000000002e-06 9.971779999999999e-06 8.36317e-06 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 8.373730000000001e-06 9.453905999999999e-06 7.938752e-06 1.1043140000000002e-05 8.192882e-06 8.871104000000001e-06 8.78873e-06 1.0550824e-05 1.108302e-05 1.0525e-05 8.184002e-06 9.04108e-06 1.1356624e-05 9.997302e-06 1.0932575999999999e-05 7.956090000000001e-06 9.243992e-06 1.0575858e-05 8.957608e-06 9.71038e-06 9.75621e-06 1.0087138e-05 1.1946746000000001e-05 1.2600009999999999e-05 7.93871e-06 9.425348e-06 7.567888e-06 1.0553032000000001e-05 6.959628000000001e-06 7.931442e-06 8.339505999999998e-06 1.5560817999999998e-05 7.876152e-06 7.811846e-06 6.90335e-06 5.266321999999999e-06 7.395996e-06 1.403292e-05 9.373496e-06 9.022022000000001e-06 1.009856e-05 7.493398e-06 6.082054e-06 9.327428000000001e-06 1.1211102e-05 7.986122e-06 7.946786e-06 1.1329438000000001e-05 6.378192e-06 1.153654e-05 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 1.049625e-05 1.0478288e-05 1.0350806e-05 1.0505384e-05 7.448694000000001e-06 1.0651388000000002e-05 1.2884166e-05 9.131248e-06 1.1662661999999999e-05 8.351308000000001e-06 1.0769748000000001e-05 9.050349999999999e-06 9.678719999999999e-06 9.084808e-06 1.1185006e-05 8.565966e-06 1.2136636e-05 7.968178e-06 9.698052e-06 1.045617e-05 1.0860354000000001e-05 9.835594e-06 9.352460000000001e-06 8.677488e-06 9.18506e-06 8.699916e-06 6.645e-06 8.67734e-06 8.29726e-06 1.638373e-05 9.436813999999999e-06 7.685221999999999e-06 8.775896000000001e-06 7.214686000000001e-06 9.046664e-06 5.9136500000000005e-06 4.875527999999999e-06 5.5642399999999994e-06 1.1833734e-05 5.370306e-06 1.0717365999999999e-05 8.741326e-06 8.52894e-06 7.882538e-06 1.292075e-05 7.247214000000001e-06 8.110339999999999e-06 6.914544000000001e-06 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.513172e-06 9.213012000000001e-06 6.704342e-06 9.124189999999999e-06 1.0427032000000001e-05 1.1126114000000002e-05 1.0509928e-05 1.0987155999999998e-05 9.236056000000001e-06 9.524488e-06 1.2418878e-05 1.1072758e-05 1.1978311999999998e-05 1.0538834e-05 9.727057999999999e-06 8.894804e-06 6.39487e-06 1.0102565999999999e-05 8.255106000000001e-06 9.304744e-06 7.817806e-06 8.967549999999999e-06 8.446726000000001e-06 8.261538e-06 8.861736e-06 1.0515459999999998e-05 8.08723e-06 1.1907154000000001e-05 6.343350000000001e-06 1.0981698000000001e-05 1.4076778e-05 1.0957726e-05 9.686291999999999e-06 8.55526e-06 5.299620000000001e-06 5.783006e-06 7.458730000000001e-06 6.927086e-06 6.111393999999999e-06 9.680668e-06 8.758550000000001e-06 8.290522000000002e-06 8.34298e-06 8.356892000000001e-06 1.346826e-05 1.1653624e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 9.168454000000001e-06 1.0763048e-05 9.387184e-06 1.1070406000000001e-05 1.0593838e-05 8.639424e-06 9.364665999999999e-06 9.259698e-06 8.228772e-06 8.189881999999998e-06 1.0602351999999999e-05 6.904962e-06 8.200506e-06 1.1565157999999999e-05 8.964192e-06 6.847361999999999e-06 8.678572e-06 1.2205042e-05 1.2712018e-05 1.6513499999999997e-05 1.0267166000000001e-05 8.7025e-06 1.204035e-05 9.768866e-06 9.031501999999999e-06 6.00157e-06 9.85435e-06 7.0375899999999995e-06 5.2919999999999995e-06 4.327038000000001e-06 6.811822e-06 1.0476094e-05 6.448942e-06 3.6779999999999998e-06 7.499969999999999e-06 5.79691e-06 6.827106e-06 8.660226e-06 7.005504000000001e-06 8.622363999999999e-06 1.4049928e-05 8.219442000000001e-06 6.331784e-06 8.750264000000001e-06 8.70125e-06 1.0883888e-05 1.041193e-05 9.217552e-06 1.0718298e-05 1.3589754e-05 1.1767152e-05 8.1712e-06 9.546254e-06 1.1639623999999998e-05 1.0496534e-05 1.0864096e-05 9.62302e-06 8.571965999999999e-06 0.0
16 0.0 0.0 1.0142946e-05 1.2425506000000001e-05 9.504737999999998e-06 1.1642586000000001e-05 7.977778e-06 9.677306e-06 1.1999748000000001e-05 8.312066000000002e-06 8.591362e-06 7.718092e-06 1.0292223999999998e-05 9.381629999999999e-06 6.835556000000001e-06 8.820642e-06 9.029616e-06 1.0090028e-05 5.6922220000000005e-06 1.0208942000000001e-05 8.761441999999999e-06 1.3508136e-05 7.528566e-06 1.2617334000000002e-05 9.064112000000001e-06 1.5005003999999999e-05 8.706372e-06 5.590574e-06 6.84212e-06 7.344444e-06 6.972748e-06 5.73125e-06 6.215333999999999e-06 5.545916e-06 1.1298136000000001e-05 1.1654416000000002e-05 4.563332e-06 6.925714e-06 1.361123e-05 8.358121999999999e-06 5.988172e-06 1.1616782e-05 8.311112e-06 7.85069e-06 7.751746e-06 1.4136535999999998e-05 1.1090334000000001e-05 1.2350714e-05 1.09768e-05 8.260038e-06 7.68684e-06 1.0134636e-05 1.0388334e-05 8.037446e-06 1.1986994e-05 1.1727190000000001e-05 1.2254352000000001e-05 1.0732340000000002e-05 0.0 0.0
18 0.0 0.0 0.0 9.322402e-06 9.388693999999999e-06 8.055238000000001e-06 1.3336236000000001e-05 9.29159e-06 8.710308e-06 7.946816e-06 8.776192e-06 1.0370764e-05 1.0096666e-05 1.2453264e-05 1.0054926e-05 9.23366e-06 9.246962e-06 8.951924e-06 1.0742828000000001e-05 7.680334e-06 8.917619999999999e-06 1.0270774e-05 7.771841999999999e-06 1.0770147999999998e-05 7.246046e-06 6.77052e-06 4.56762e-06 5.01544e-06 5.0623379999999996e-06 1.0850000000000001e-05 4.78718e-06 3.01619e-06 3.021518e-06 7.3937940000000005e-06 6.456706e-06 8.03943e-06 4.211852e-06 7.488442e-06 6.194742e-06 3.117192e-06 4.438576e-06 6.312510000000001e-06 5.594032e-06 7.417332e-06 1.4198206e-05 8.900582e-06 8.780176e-06 9.665279999999999e-06 1.0047472e-05 7.804242e-06 8.907002e-06 8.27324e-06 8.498678e-06 8.755207999999999e-06 9.220418e-06 1.0613229999999999e-05 1.2144356000000001e-05 0.0 0.0 0.0
