 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 136.0 135.0 130.0 107.0 90.0 87.0 78 77 88 78 84 81 80.0 77 83 77 96 103 84 88.0 79.0 84 89.0 83.0 74.0 86.0 92.0 63.0 96.0 93.0 75.0 69.0 72.0 71.0 92.0 74.0 78.0 68.0 73.0 79.0 77.0 81.0 72.0 68.0 74.0 80.0 70.0 67 84.0 74.0 63 69 92.0 90.0 126.0 120.0 122.0 168.0 0.0
2 0.0 0.0 116.0 113.0 115.0 85.0 77.0 94 77 73 86 74 82 74.0 81 87 78 81 69 89 66.0 72.0 81 78.0 80.0 65.0 65.0 95.0 66.0 85.0 73.0 86.0 65.0 77.0 73.0 80.0 76.0 84.0 74.0 71.0 69.0 62.0 88.0 68.0 77.0 61.0 62.0 69.0 91 71.0 74.0 62 67 86.0 90.0 96.0 88.0 108.0 0.0 0.0
4 0.0 0.0 0.0 81.0 82.0 87.0 80.0 82 74 59 78 63 72 89.0 77 77 77 85 82 77 75.0 77.0 71 74.0 87.0 74.0 69.0 69.0 70.0 84.0 81.0 65.0 85.0 73.0 76.0 89.0 89.0 83.0 75.0 65.0 72.0 82.0 79.0 71.0 85.0 71.0 75.0 83.0 50 53.0 72.0 66 69 89.0 78.0 73.0 82.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 91.0 79.0 75.0 52 68 53 73 67 74 75.0 85 81 64 75 73 71 81.0 92.0 90 88.0 81.0 84.0 73.0 72.0 62.0 75.0 78.0 86.0 71.0 66.0 68.0 71.0 77.0 71.0 86.0 75.0 62.0 68.0 69.0 76.0 83.0 60.0 83.0 51.0 63 57.0 52.0 53 57 54.0 64.0 56.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 72.0 68.0 64 67 70 58 68 64 76.0 74 77 71 72 67 67 87.0 76.0 83 75.0 69.0 57.0 86.0 80.0 88.0 92.0 69.0 71.0 82.0 62.0 73.0 98.0 59.0 78.0 56.0 65.0 80.0 68.0 67.0 74.0 61.0 49.0 60.0 64.0 56 60.0 62.0 66 57 51.0 62.0 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 58.0 54 51 59 60 66 52 65.0 76 66 92 84 59 78 72.0 66.0 73 74.0 82.0 66.0 50.0 66.0 60.0 79.0 83.0 55.0 73.0 75.0 67.0 71.0 89.0 72.0 65.0 67.0 59.0 67.0 62.0 56.0 66.0 55.0 55.0 45.0 62 42.0 57.0 43 40 35.0 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 61 55 37 54 78 65 71.0 88 78 77 69 76 63 66.0 60.0 60 78.0 81.0 69.0 76.0 76.0 90.0 55.0 75.0 72.0 78.0 68.0 77.0 74.0 59.0 66.0 65.0 68.0 71.0 64.0 63.0 70.0 58.0 70.0 59.0 70.0 72 66.0 44.0 48 47 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 112.0 115.0 99.0 79.0 74.0 73.0 53 55 49 46 34 50 65.0 53 59 49 47 53 51 44.0 62.0 42 40.0 58.0 43.0 38.0 52.0 48.0 44.0 45.0 47.0 49.0 62.0 35.0 59.0 52.0 44.0 54.0 57.0 46.0 52.0 58.0 59.0 63.0 41.0 50.0 65.0 62 65.0 67.0 64 73 67.0 72.0 92.0 81.0 112.0 146.0 0.0
16 0.0 0.0 99.0 74.0 91.0 65.0 54.0 53 54 49 56 66 48 49.0 43 52 52 49 29 53 51.0 40.0 41 56.0 59.0 49.0 41.0 52.0 47.0 39.0 43.0 59.0 52.0 51.0 42.0 42.0 68.0 51.0 53.0 55.0 56.0 60.0 60.0 53.0 48.0 70.0 62.0 49.0 52 55.0 63.0 47 63 65.0 63.0 82.0 83.0 118.0 0.0 0.0
18 0.0 0.0 0.0 76.0 72.0 54.0 40.0 29 56 56 49 63 44 39.0 53 42 47 50 54 55 47.0 58.0 33 38.0 50.0 46.0 38.0 36.0 51.0 48.0 32.0 42.0 42.0 47.0 51.0 49.0 55.0 49.0 41.0 40.0 55.0 61.0 47.0 53.0 49.0 55.0 47.0 53.0 56 55.0 60.0 47 47 66.0 59.0 80.0 68.0 0.0 0.0 0.0
20 0.0 0.0 0.0 0.0 61.0 58.0 38.0 54 32 35 50 54 43 39.0 46 45 41 46 35 45 42.0 53.0 50 33.0 50.0 45.0 26.0 42.0 48.0 40.0 41.0 49.0 60.0 41.0 45.0 47.0 56.0 33.0 43.0 36.0 35.0 53.0 37.0 57.0 40.0 42.0 50.0 66.0 50 57.0 54.0 51 56 54.0 68.0 53.0 0.0 0.0 0.0 0.0
22 0.0 0.0 0.0 0.0 0.0 50.0 46.0 48 42 37 48 53 47 42.0 37 44 53 44 36 42 38.0 43.0 43 36.0 47.0 40.0 56.0 45.0 43.0 37.0 41.0 44.0 43.0 30.0 42.0 48.0 32.0 33.0 54.0 51.0 41.0 47.0 53.0 44.0 47.0 48.0 45.0 49.0 40 50.0 41.0 48 34 39.0 53.0 0.0 0.0 0.0 0.0 0.0
24 0.0 0.0 0.0 0.0 0.0 0.0 57.0 35 28 43 38 47 38 31.0 48 44 45 35 45 40 45.0 29.0 40 50.0 39.0 33.0 39.0 41.0 38.0 30.0 31.0 42.0 37.0 39.0 31.0 34.0 46.0 35.0 46.0 56.0 42.0 40.0 48.0 45.0 44.0 54.0 44.0 39.0 40 40.0 32.0 43 44 50.0 0.0 0.0 0.0 0.0 0.0 0.0
26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 49 40 34 35 30 39 41.0 38 43 45 44 55 48 42.0 33.0 38 46.0 38.0 41.0 40.0 36.0 40.0 35.0 31.0 46.0 43.0 37.0 43.0 41.0 45.0 22.0 47.0 40.0 38.0 44.0 33.0 36.0 37.0 56.0 40.0 40.0 55 39.0 33.0 40 57 0.0 0.0 0.0 0.0 0.0 0.0 0.0
28 488.0 356.0 271.0 218.0 166.0 130.0 116.0 108 104 106 108 88 90 72.0 81 99 86 101 82 92 84.0 89.0 89 85.0 88.0 86.0 103.0 104.0 81.0 86.0 82.0 91.0 89.0 70.0 69.0 67.0 99.0 93.0 77.0 73.0 84.0 92.0 94.0 97.0 91.0 91.0 116.0 119.0 89 108.0 112.0 115 109 127.0 145.0 176.0 248.0 308.0 319.0 480.0
30 523.0 397.0 278.0 215.0 158.0 150.0 140.0 118 110 87 95 97 102 106.0 98 90 84 82 92 81 80.0 81.0 91 105.0 85.0 86.0 97.0 81.0 84.0 92.0 95.0 92.0 88.0 93.0 95.0 64.0 82.0 77.0 83.0 81.0 92.0 94.0 74.0 94.0 100.0 94.0 96.0 103.0 99 94.0 93.0 123 105 130.0 159.0 156.0 210.0 273.0 388.0 534.0
32 520.0 509.0 492.0 462.0 457.0 446.0 444.0 434 412 386 413 441 406 408.0 413 415 412 393 395 411 385.0 396.0 375 401.0 421.0 379.0 371.0 382.0 397.0 363.0 357.0 418.0 412.0 399.0 382.0 383.0 433.0 341.0 418.0 413.0 402.0 448.0 407.0 438.0 426.0 458.0 431.0 461.0 452 452.0 440.0 460 476 468.0 470.0 462.0 441.0 501.0 531.0 531.0
34 486.0 487.0 517.0 539.0 560.0 543.0 560.0 593 573 544 594 587 580 601.0 637 647 621 662 610 620 619.0 609.0 629 639.0 651.0 574.0 607.0 652.0 577.0 649.0 631.0 599.0 609.0 559.0 571.0 638.0 620.0 623.0 564.0 555.0 574.0 578.0 601.0 582.0 586.0 528.0 588.0 569.0 547 539.0 545.0 514 513 532.0 528.0 523.0 535.0 535.0 485.0 478.0
