 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 1.0657234e-05 9.81927e-06 9.138558000000001e-06 1.0433826000000001e-05 1.3499062e-05 1.0485301999999998e-05 1.1586785999999999e-05 8.621914e-06 7.796051999999998e-06 8.140396e-06 8.015894e-06 6.757563999999999e-06 9.047514e-06 7.990304000000001e-06 6.46425e-06 7.262908000000001e-06 6.369847999999999e-06 8.11191e-06 8.239977999999999e-06 9.636218e-06 8.119499999999999e-06 8.328754e-06 8.128716000000001e-06 8.762362000000002e-06 9.956524000000001e-06 8.866066e-06 7.3912419999999995e-06 6.593920000000001e-06 6.642540000000001e-06 7.856718000000001e-06 7.584138e-06 9.919946000000002e-06 7.608126000000001e-06 6.7032099999999995e-06 8.421048e-06 9.830901999999998e-06 7.610466e-06 9.722959999999999e-06 9.385304e-06 8.966715999999999e-06 9.318744e-06 1.1608072e-05 8.201332e-06 8.084546e-06 9.877632e-06 1.1609978e-05 9.497997999999999e-06 1.0443012e-05 1.1415248e-05 1.3814574000000002e-05 9.946087999999998e-06 1.2040942e-05 1.0242935999999998e-05 1.0586006e-05 1.0088752000000001e-05 1.2267248e-05 1.103069e-05 9.680472e-06 0.0
2 0.0 0.0 9.440174e-06 1.0693353999999999e-05 1.0403964000000002e-05 1.0237698e-05 9.23907e-06 6.868636e-06 8.649312000000002e-06 7.853894e-06 2.1819534e-05 8.341752e-06 7.232192e-06 7.661526e-06 8.072412e-06 7.323116e-06 8.186475999999998e-06 8.446426e-06 7.120326e-06 8.310868e-06 6.6531200000000004e-06 1.1183783999999999e-05 7.017587999999999e-06 8.943622e-06 7.738498e-06 8.409712000000001e-06 7.098750000000001e-06 8.518099999999999e-06 1.0047376e-05 8.469198e-06 7.660768e-06 8.941754e-06 7.5450659999999995e-06 7.947248e-06 7.737734e-06 7.035146e-06 9.506036e-06 1.0859568000000001e-05 9.593499999999999e-06 8.901854000000001e-06 1.0194346e-05 8.576484000000001e-06 1.00605e-05 9.307224e-06 1.2550688e-05 9.481254e-06 8.495711999999998e-06 9.587979999999999e-06 8.668578e-06 1.1818252e-05 7.566866e-06 7.1907000000000005e-06 1.0391522e-05 1.0301104e-05 1.0192082000000001e-05 1.0693026e-05 9.05015e-06 9.046563999999999e-06 0.0 0.0
4 0.0 0.0 0.0 1.2176718e-05 1.0220992e-05 9.592690000000001e-06 7.577587999999999e-06 6.771444e-06 9.73088e-06 7.243334e-06 8.819522000000001e-06 7.119538e-06 7.579926e-06 9.703879999999999e-06 7.913212e-06 1.0311842e-05 8.739308000000001e-06 1.0143092e-05 7.879336e-06 8.289398e-06 1.0210083999999999e-05 7.866642e-06 7.462626000000001e-06 6.9253500000000005e-06 9.002185999999998e-06 7.5600180000000005e-06 6.969938e-06 7.512578e-06 8.59275e-06 8.121500000000002e-06 7.905834000000001e-06 8.374744e-06 8.58015e-06 7.165066e-06 8.420486e-06 7.098561999999999e-06 7.636026e-06 8.455134000000001e-06 7.468033999999999e-06 7.460448e-06 7.12817e-06 9.619242e-06 1.1874382e-05 8.830688e-06 1.4944936000000002e-05 8.140428e-06 7.609840000000001e-06 8.498186000000001e-06 1.1008277999999999e-05 9.432538e-06 8.521978e-06 9.121357999999999e-06 9.137682e-06 8.367360000000001e-06 1.0452772e-05 8.31662e-06 1.0807542e-05 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 6.480912e-06 7.4461659999999994e-06 8.392222000000001e-06 8.147808e-06 7.5873260000000005e-06 9.187946e-06 8.103242e-06 8.467026e-06 6.549246000000001e-06 7.992676e-06 8.36092e-06 7.950982e-06 8.25961e-06 7.303794e-06 9.022542e-06 7.968038e-06 9.253630000000001e-06 6.3343419999999995e-06 7.848082000000001e-06 6.467020000000001e-06 7.777931999999998e-06 8.639016e-06 7.746898000000002e-06 9.298044e-06 7.176092e-06 7.708232e-06 9.271842e-06 6.9257780000000005e-06 7.825936e-06 8.187832e-06 6.053044000000001e-06 8.959589999999999e-06 7.921189999999999e-06 8.629984e-06 6.921205999999999e-06 1.0645054e-05 8.061776e-06 8.62756e-06 1.094219e-05 9.309048e-06 9.45474e-06 6.437996e-06 8.260422e-06 9.050142e-06 9.382704e-06 9.292714000000002e-06 1.1058274000000001e-05 1.0312818e-05 7.368167999999999e-06 7.905914e-06 1.0523976e-05 8.790347999999999e-06 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 9.915841999999999e-06 7.364342e-06 1.0553528e-05 8.161768000000001e-06 6.975732e-06 8.049544e-06 9.401628e-06 7.907204e-06 8.342266e-06 8.012473999999999e-06 7.026824e-06 7.5410680000000005e-06 8.946064e-06 9.24349e-06 9.771464e-06 9.415068e-06 8.098267999999999e-06 7.693178e-06 8.11193e-06 8.980454e-06 6.722714000000001e-06 8.17565e-06 9.09686e-06 6.483566e-06 7.781322e-06 7.085283999999999e-06 7.968320000000001e-06 6.435986000000001e-06 7.57314e-06 7.943054e-06 7.013413999999999e-06 7.440708e-06 5.47783e-06 6.641638e-06 7.036943999999999e-06 8.249888000000001e-06 7.869932000000002e-06 7.042174000000001e-06 8.044446000000001e-06 1.0481756e-05 7.5494760000000005e-06 9.53285e-06 7.739412e-06 8.420238000000002e-06 9.736552e-06 1.2842166e-05 1.0473006e-05 1.1736694000000001e-05 1.0405945999999999e-05 9.646542000000001e-06 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 9.030314e-06 8.184311999999998e-06 8.727332e-06 7.851148e-06 6.772615999999999e-06 8.035588e-06 1.0043743999999999e-05 8.422623999999999e-06 9.045108e-06 6.847393999999999e-06 8.64262e-06 8.962738e-06 5.567492e-06 6.876587999999999e-06 7.865302e-06 8.610721999999999e-06 9.393366000000001e-06 8.09705e-06 8.083494e-06 7.323918e-06 7.420048000000001e-06 8.638747999999999e-06 8.700508000000001e-06 7.4786479999999995e-06 8.410420000000001e-06 7.2803139999999995e-06 7.139688e-06 6.860765999999999e-06 9.070686e-06 6.869162e-06 8.213808e-06 8.076774e-06 7.721442e-06 6.64798e-06 7.458012e-06 9.198636e-06 9.00307e-06 7.3779620000000006e-06 7.2480700000000006e-06 1.026531e-05 8.533379999999999e-06 9.510686e-06 9.71027e-06 7.849629999999999e-06 9.450136000000001e-06 1.0674624000000002e-05 1.6738794e-05 8.498676e-06 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4313546e-05 1.2073795999999999e-05 7.123911999999999e-06 7.208e-06 8.330458000000001e-06 7.025775999999999e-06 9.013652e-06 8.120741999999998e-06 8.174412e-06 8.122165999999999e-06 9.273724000000001e-06 7.429691999999999e-06 9.310562000000001e-06 8.175338e-06 8.228642e-06 8.379473999999999e-06 6.85938e-06 8.39696e-06 6.908782e-06 5.850896e-06 7.739386000000001e-06 8.507207999999999e-06 7.1971520000000015e-06 7.09862e-06 8.091572e-06 7.406582e-06 7.890993999999998e-06 8.904832e-06 7.574740000000001e-06 8.371684e-06 8.305209999999999e-06 6.058522000000001e-06 9.213658e-06 7.782323999999999e-06 7.305547999999999e-06 1.0845192e-05 6.867614e-06 7.684832000000002e-06 1.2501649999999999e-05 8.907274e-06 1.1079828e-05 9.155932e-06 1.0495871999999999e-05 9.261118e-06 8.843826e-06 1.1732558e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 9.345184e-06 1.3825196e-05 9.358468e-06 1.0481400000000001e-05 8.203805999999999e-06 7.204189999999999e-06 8.442519999999999e-06 5.3798420000000005e-06 6.442278e-06 6.8255e-06 9.863888e-06 7.66171e-06 7.744888e-06 1.6274574e-05 4.678853999999999e-06 7.1440740000000005e-06 5.424648e-06 5.038788e-06 7.700883999999999e-06 1.1370158e-05 7.126697999999999e-06 5.636902e-06 8.883861999999999e-06 5.009058e-06 7.641126e-06 5.663214e-06 6.840608e-06 7.281234e-06 9.420979999999999e-06 6.119333999999999e-06 4.66025e-06 5.565222000000001e-06 6.28857e-06 6.939722e-06 7.8447e-06 6.567867999999999e-06 5.788770000000001e-06 7.353091999999999e-06 5.537748e-06 6.128082e-06 6.4e-06 7.529218000000001e-06 5.26259e-06 5.921882000000001e-06 4.483358e-06 4.995834e-06 8.884339999999998e-06 6.259046e-06 6.978957999999999e-06 6.643426e-06 9.643064e-06 8.140108e-06 1.2145942e-05 1.9834511999999997e-05 6.985706000000001e-06 8.757218e-06 1.0583108e-05 1.0749122e-05 0.0
16 0.0 0.0 1.1106426e-05 1.0261947999999999e-05 1.1790462e-05 8.600308e-06 6.337008000000001e-06 5.67083e-06 6.34344e-06 5.8818079999999995e-06 7.695458e-06 6.825232e-06 5.250096e-06 4.496191999999999e-06 7.213639999999999e-06 4.4084e-06 5.638236e-06 5.970658e-06 6.1942259999999985e-06 9.190334e-06 7.511184e-06 5.323517999999999e-06 7.061565999999999e-06 5.861142e-06 6.67603e-06 3.699014e-06 6.230554e-06 6.09699e-06 5.250772e-06 6.194684000000001e-06 7.270762000000001e-06 7.630558e-06 4.78628e-06 1.3650400000000002e-05 6.134788e-06 6.012308e-06 5.680742e-06 5.191782e-06 8.98472e-06 4.195038e-06 6.731704000000001e-06 6.612417999999999e-06 7.21509e-06 3.5099579999999995e-06 5.166473999999999e-06 1.3877086000000001e-05 5.9435899999999995e-06 5.349432e-06 6.179154e-06 1.6080878e-05 8.155668000000001e-06 6.797622e-06 8.404112000000001e-06 9.186396e-06 1.4371782e-05 1.121707e-05 7.662214e-06 9.474206e-06 0.0 0.0
18 0.0 0.0 0.0 9.189666000000001e-06 8.672705999999999e-06 5.327166e-06 4.642238e-06 6.947744e-06 5.1184119999999995e-06 6.002876e-06 5.46101e-06 5.939578e-06 1.291969e-05 5.230062e-06 6.9633339999999996e-06 6.542848000000001e-06 3.753994e-06 1.3490886000000002e-05 6.737906e-06 7.112400000000001e-06 9.459622000000002e-06 5.925686e-06 7.2385779999999994e-06 5.20955e-06 6.782078e-06 8.337166e-06 5.941628e-06 5.654904000000001e-06 5.83687e-06 6.3715019999999995e-06 5.43901e-06 7.97353e-06 6.758808e-06 5.08201e-06 1.0229084e-05 6.161530000000001e-06 4.393392e-06 5.010501999999999e-06 4.877084e-06 4.604703999999999e-06 6.518332000000001e-06 7.271672000000001e-06 5.844784e-06 5.768612e-06 6.207323999999999e-06 5.586058e-06 7.5566659999999995e-06 4.827343999999999e-06 6.029136e-06 4.627644000000001e-06 8.171118e-06 5.739784e-06 7.527523999999999e-06 6.826225999999999e-06 8.142147999999999e-06 9.655341999999999e-06 9.093882e-06 0.0 0.0 0.0
