 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 340.0 254.0 223.0 178.0 155.0 126.0 118.0 99.0 101.0 89.0 84.0 88.0 101.0 90.0 88.0 96.0 77.0 90.0 83.0 73.0 81.0 80.0 79.0 83.0 87.0 81.0 86.0 84.0 88.0 92.0 94.0 89.0 81.0 97.0 87.0 99.0 88.0 96.0 90.0 82.0 100.0 91.0 77.0 87.0 92.0 124.0 91.0 94.0 103.0 101.0 99.0 124.0 128.0 161.0 221.0 223.0 267.0 319.0 0.0
2 0.0 0.0 161.0 191.0 168.0 140.0 157.0 108.0 115.0 90.0 110.0 76.0 85.0 97.0 98.0 89.0 101.0 81.0 81.0 83.0 77.0 74.0 83.0 77.0 76.0 90.0 87.0 72.0 83.0 81.0 73.0 82.0 73.0 95.0 90.0 101.0 97.0 82.0 98.0 84.0 89.0 80.0 79.0 85.0 102.0 91.0 92.0 87.0 98.0 101.0 108.0 104.0 102.0 119.0 151.0 160.0 178.0 186.0 0.0 0.0
4 0.0 0.0 0.0 135.0 145.0 148.0 102.0 102.0 83.0 101.0 96.0 87.0 91.0 79.0 90.0 89.0 76.0 73.0 85.0 92.0 83.0 102.0 79.0 80.0 69.0 90.0 73.0 74.0 90.0 80.0 75.0 86.0 70.0 73.0 100.0 102.0 78.0 80.0 78.0 67.0 84.0 102.0 71.0 83.0 85.0 87.0 84.0 106.0 80.0 75.0 74.0 83.0 97.0 109.0 102.0 140.0 118.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 85.0 90.0 88.0 91.0 80.0 89.0 72.0 91.0 92.0 95.0 93.0 72.0 72.0 90.0 64.0 96.0 94.0 101.0 88.0 95.0 72.0 101.0 80.0 76.0 76.0 93.0 90.0 81.0 88.0 71.0 96.0 71.0 92.0 80.0 87.0 84.0 108.0 96.0 88.0 83.0 76.0 76.0 81.0 86.0 82.0 87.0 88.0 78.0 93.0 105.0 110.0 99.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 72.0 93.0 87.0 97.0 74.0 83.0 88.0 66.0 66.0 83.0 110.0 96.0 78.0 75.0 91.0 88.0 75.0 87.0 86.0 74.0 76.0 84.0 83.0 75.0 70.0 78.0 73.0 69.0 91.0 78.0 78.0 68.0 77.0 77.0 110.0 88.0 87.0 93.0 93.0 77.0 79.0 84.0 77.0 92.0 86.0 93.0 82.0 82.0 69.0 83.0 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 64.0 81.0 74.0 63.0 89.0 83.0 84.0 97.0 79.0 86.0 66.0 89.0 73.0 76.0 66.0 60.0 95.0 89.0 67.0 75.0 85.0 71.0 66.0 98.0 92.0 88.0 72.0 89.0 67.0 77.0 62.0 75.0 72.0 71.0 75.0 71.0 87.0 78.0 87.0 88.0 92.0 67.0 72.0 84.0 72.0 88.0 65.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 47.0 67.0 76.0 78.0 93.0 82.0 82.0 77.0 86.0 68.0 88.0 74.0 89.0 84.0 80.0 77.0 94.0 74.0 83.0 68.0 92.0 72.0 87.0 69.0 72.0 76.0 66.0 70.0 76.0 86.0 68.0 69.0 80.0 76.0 88.0 100.0 93.0 89.0 77.0 90.0 93.0 92.0 65.0 83.0 57.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 209.0 163.0 149.0 117.0 91.0 82.0 62.0 55.0 68.0 44.0 52.0 59.0 43.0 50.0 47.0 58.0 50.0 45.0 45.0 44.0 61.0 40.0 47.0 58.0 55.0 64.0 54.0 57.0 60.0 56.0 51.0 63.0 61.0 47.0 55.0 51.0 58.0 51.0 57.0 45.0 52.0 46.0 49.0 51.0 45.0 48.0 54.0 52.0 49.0 45.0 57.0 72.0 80.0 85.0 100.0 141.0 199.0 238.0 0.0
16 0.0 0.0 136.0 111.0 92.0 81.0 80.0 61.0 51.0 46.0 50.0 48.0 42.0 42.0 57.0 54.0 56.0 62.0 56.0 46.0 44.0 49.0 60.0 52.0 48.0 41.0 53.0 57.0 53.0 55.0 57.0 58.0 44.0 57.0 62.0 61.0 52.0 54.0 48.0 52.0 46.0 53.0 51.0 47.0 65.0 44.0 59.0 40.0 44.0 45.0 43.0 66.0 60.0 70.0 80.0 74.0 92.0 117.0 0.0 0.0
18 0.0 0.0 0.0 73.0 63.0 61.0 67.0 66.0 54.0 55.0 44.0 45.0 53.0 71.0 38.0 53.0 53.0 38.0 43.0 54.0 44.0 45.0 48.0 55.0 41.0 33.0 46.0 42.0 47.0 54.0 47.0 49.0 42.0 49.0 42.0 53.0 69.0 56.0 45.0 43.0 54.0 50.0 37.0 33.0 46.0 53.0 44.0 42.0 51.0 35.0 46.0 53.0 48.0 51.0 54.0 62.0 66.0 0.0 0.0 0.0
