 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 1.0377195999999999e-05 1.0668991999999999e-05 9.17493e-06 1.172448e-05 1.1328964000000001e-05 9.31749e-06 8.857786e-06 1.0279908000000002e-05 7.487996e-06 9.456105999999999e-06 8.268956e-06 7.897766000000001e-06 7.927522e-06 6.9995739999999996e-06 7.184538e-06 6.9362239999999996e-06 7.070256e-06 6.696680000000001e-06 8.083754e-06 5.769392e-06 6.906552e-06 8.122779999999998e-06 8.449158e-06 5.830054e-06 7.259945999999999e-06 8.850666000000002e-06 9.137006e-06 5.6978e-06 4.7894639999999995e-06 6.025992e-06 7.990922e-06 6.247429999999999e-06 6.229266e-06 9.64014e-06 7.977304e-06 7.84413e-06 9.353104e-06 6.132220000000001e-06 5.552374e-06 5.28742e-06 5.600754000000001e-06 7.842828e-06 7.785436e-06 7.263922000000001e-06 7.704546e-06 9.336098e-06 8.06208e-06 1.0068718e-05 6.402724e-06 7.238954e-06 9.92092e-06 9.673916e-06 9.049112e-06 1.0265968e-05 1.0399206e-05 8.28874e-06 1.0871928e-05 1.0343244e-05 0.0
2 0.0 0.0 1.0213244000000001e-05 8.538793999999999e-06 9.928386e-06 1.0071555999999998e-05 9.297102e-06 7.686952000000001e-06 7.89526e-06 6.778951999999999e-06 6.671201999999999e-06 7.1246139999999995e-06 6.693126000000001e-06 8.530183999999998e-06 6.539706e-06 6.267534e-06 6.361871999999999e-06 5.4988379999999995e-06 8.68086e-06 1.0812332e-05 6.0877359999999995e-06 8.024912e-06 6.821626e-06 7.017456e-06 8.694746e-06 6.73257e-06 4.918296e-06 6.0984e-06 5.859088e-06 5.615716e-06 5.707079999999999e-06 4.315534e-06 6.117662e-06 5.1688640000000005e-06 7.328700000000001e-06 7.268047999999999e-06 5.073096e-06 6.965748e-06 7.896944e-06 7.549190000000001e-06 7.811314e-06 8.047304000000001e-06 5.9991200000000004e-06 7.057398000000001e-06 8.59105e-06 6.875052e-06 7.622216e-06 6.7260000000000005e-06 8.048380000000001e-06 8.245142e-06 6.289894000000001e-06 8.447862e-06 1.1303524e-05 7.948952e-06 1.1636102e-05 1.1204341999999999e-05 1.0371144e-05 1.0029922e-05 0.0 0.0
4 0.0 0.0 0.0 9.02244e-06 1.1528925999999998e-05 7.856242e-06 7.0451e-06 8.785228e-06 8.215242e-06 9.821343999999999e-06 5.367603999999999e-06 7.581030000000001e-06 1.0436216e-05 8.992873999999999e-06 7.270426e-06 7.752434e-06 7.5636799999999996e-06 6.32034e-06 8.417995999999999e-06 1.0053678e-05 6.7479039999999995e-06 7.746508000000001e-06 5.744146000000001e-06 7.351251999999999e-06 1.0940318e-05 6.306866000000001e-06 6.396438e-06 5.066047999999999e-06 6.805862e-06 7.254502e-06 5.0971100000000006e-06 6.403982000000001e-06 5.2556580000000005e-06 5.333443999999999e-06 5.070227999999999e-06 5.918053999999999e-06 1.1030652000000001e-05 9.202322e-06 7.588620000000001e-06 5.842736e-06 4.077625999999999e-06 6.108396e-06 6.582842e-06 6.985454000000001e-06 6.904504000000001e-06 1.0065e-05 5.623254e-06 5.041808e-06 8.448517999999998e-06 8.141696e-06 8.157554e-06 4.628044e-06 9.686202e-06 9.080674e-06 6.7169940000000005e-06 7.560932e-06 1.1733429999999999e-05 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 6.864039999999999e-06 8.719088e-06 8.311420000000001e-06 8.392624e-06 1.0709444e-05 9.84872e-06 9.595336000000001e-06 6.917743999999999e-06 8.443623999999999e-06 7.93823e-06 6.045949999999999e-06 6.9017540000000006e-06 6.54426e-06 1.1085260000000001e-05 1.0185862000000001e-05 5.3622119999999996e-06 6.564182e-06 7.112788e-06 5.448572e-06 5.4650860000000004e-06 7.933525999999999e-06 5.4440380000000005e-06 6.057075999999999e-06 5.142344e-06 6.692846e-06 6.0954160000000006e-06 7.84415e-06 5.287946e-06 6.292674e-06 6.271036e-06 6.355356000000001e-06 5.704064e-06 5.111956e-06 5.264559999999999e-06 6.386418e-06 6.093028e-06 5.682434e-06 5.577703999999999e-06 7.631488e-06 5.279072000000001e-06 6.2161740000000004e-06 9.14011e-06 5.617864e-06 5.966e-06 6.793757999999999e-06 4.5142340000000004e-06 7.535086000000001e-06 8.412653999999999e-06 7.192818000000001e-06 8.041602000000002e-06 7.510462e-06 5.550278000000001e-06 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 8.814564e-06 6.75622e-06 8.460728e-06 7.688312e-06 7.676124000000002e-06 7.288218e-06 5.62119e-06 9.744e-06 6.636084e-06 5.813824000000001e-06 6.77526e-06 6.82834e-06 8.481128e-06 6.312198000000001e-06 6.202986000000001e-06 7.313368e-06 5.722844000000001e-06 4.955786e-06 6.887230000000001e-06 5.024266000000001e-06 6.8557680000000005e-06 5.9012360000000005e-06 7.0181339999999994e-06 5.552476e-06 5.174996000000001e-06 5.108222e-06 6.1926519999999995e-06 5.9910660000000005e-06 7.2383339999999995e-06 6.261212e-06 6.226456e-06 4.8037359999999996e-06 5.78698e-06 5.381061999999999e-06 5.783927999999999e-06 7.270248e-06 8.199186e-06 1.2375952000000002e-05 5.730245999999999e-06 9.363176e-06 5.839454e-06 7.185966000000001e-06 8.091808e-06 5.434300000000001e-06 7.855978e-06 6.261464e-06 5.753508e-06 8.936544e-06 7.897154e-06 1.5819456000000003e-05 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 7.518436e-06 8.220341999999998e-06 5.148404e-06 6.8445499999999995e-06 1.0090938000000001e-05 9.987942e-06 9.703770000000001e-06 5.034339999999999e-06 5.3090040000000004e-06 8.415006e-06 8.779183999999998e-06 6.771134e-06 9.853756e-06 6.597659999999999e-06 5.112926e-06 5.719183999999999e-06 5.352388e-06 6.163470000000001e-06 5.61038e-06 7.201686e-06 5.538764e-06 7.1917120000000004e-06 5.149693999999999e-06 5.8496659999999996e-06 5.818716e-06 6.822130000000001e-06 6.178866000000001e-06 7.69056e-06 6.649271999999999e-06 7.032016e-06 6.950082e-06 9.070124000000002e-06 5.031064e-06 8.678516e-06 5.928448e-06 7.525524e-06 5.868079999999999e-06 4.804851999999999e-06 4.631588e-06 5.6344700000000005e-06 4.771722000000001e-06 5.16395e-06 6.20611e-06 7.216176e-06 6.4111779999999995e-06 7.173842e-06 5.577778000000001e-06 7.49646e-06 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.719672e-06 7.4914340000000005e-06 6.804178e-06 9.104214e-06 7.055268000000001e-06 7.438061999999999e-06 7.493349999999999e-06 6.174237999999999e-06 8.381462e-06 8.906400000000002e-06 5.898106e-06 5.882888e-06 7.351231999999999e-06 6.767012e-06 6.9034659999999995e-06 6.931030000000001e-06 6.337996e-06 4.33567e-06 7.204956e-06 6.070808e-06 5.797652e-06 6.146296e-06 5.968360000000001e-06 6.451616e-06 5.509228e-06 4.9267420000000005e-06 8.507071999999999e-06 5.7520580000000005e-06 5.423908e-06 7.124930000000001e-06 5.4626719999999995e-06 6.05461e-06 4.5344e-06 6.096334e-06 5.671796e-06 4.941224e-06 7.666034e-06 5.904605999999999e-06 5.814334e-06 6.265303999999998e-06 1.143248e-05 6.7302640000000005e-06 5.775463999999999e-06 8.388462e-06 6.507408e-06 6.91955e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 1.0127854e-05 1.2051871999999999e-05 1.0033134e-05 7.218257999999999e-06 5.4261460000000004e-06 1.039863e-05 7.4173300000000005e-06 7.0274060000000004e-06 3.723132e-06 4.893516e-06 5.317526e-06 3.7991159999999994e-06 3.6285179999999993e-06 3.995972e-06 3.884348e-06 3.8096000000000003e-06 4.864832e-06 3.646786e-06 3.3500120000000004e-06 9.108886e-06 3.204546e-06 7.370234000000001e-06 4.684856000000001e-06 6.0210000000000005e-06 4.719692e-06 6.116545999999999e-06 5.189316e-06 4.934104e-06 6.8296e-06 4.397136e-06 7.5806159999999995e-06 8.264270000000001e-06 6.378466e-06 1.0667999999999998e-05 9.113862e-06 7.3428499999999995e-06 6.429268e-06 6.7135499999999994e-06 9.64986e-06 9.080034e-06 8.709043999999998e-06 7.07072e-06 1.7890236e-05 7.795490000000001e-06 5.208838e-06 1.4343635999999998e-05 9.761096e-06 8.95078e-06 9.610146e-06 9.144180000000002e-06 9.407374e-06 9.101416e-06 1.0697156e-05 8.340834e-06 1.2575418e-05 1.0820817999999999e-05 9.844498000000002e-06 1.0967878000000002e-05 0.0
16 0.0 0.0 1.3266689999999999e-05 8.599178e-06 8.53741e-06 6.2994400000000005e-06 8.49468e-06 6.007406e-06 8.341428000000001e-06 3.5395379999999995e-06 4.4250940000000005e-06 3.739466e-06 3.910204e-06 3.4726619999999996e-06 4.422036e-06 5.067747999999999e-06 3.545282e-06 4.002094e-06 3.576604e-06 1.0326466e-05 5.525964000000001e-06 4.477554e-06 4.663636e-06 3.331178e-06 5.437932e-06 5.651468e-06 5.438474e-06 6.1681099999999984e-06 6.209515999999999e-06 7.269354e-06 4.999096e-06 4.973446e-06 5.258376e-06 9.241472000000001e-06 5.954044e-06 7.686864e-06 6.349246e-06 9.969026e-06 6.200258000000001e-06 7.194128e-06 7.481085999999999e-06 7.209675999999999e-06 9.14609e-06 9.231366e-06 8.33749e-06 8.626428e-06 8.522805999999999e-06 8.052456000000001e-06 8.449326e-06 8.176524e-06 1.0684604e-05 7.422272e-06 8.726478000000002e-06 7.874811999999999e-06 8.686708e-06 1.2845207999999999e-05 1.128817e-05 1.0031925999999999e-05 0.0 0.0
18 0.0 0.0 0.0 8.752211999999998e-06 1.0912620000000001e-05 6.2879279999999995e-06 6.62389e-06 4.118316e-06 3.9358699999999995e-06 4.621798e-06 3.591946e-06 4.202078e-06 4.058276e-06 9.32117e-06 3.5972440000000004e-06 4.265888e-06 6.517614e-06 3.522166e-06 3.76423e-06 4.678118e-06 3.9625e-06 6.823156000000001e-06 7.051248e-06 3.044108e-06 5.391817999999999e-06 4.573523999999999e-06 3.099446e-06 6.418622e-06 7.0485319999999996e-06 7.149036000000001e-06 4.9616e-06 1.0024688e-05 6.142956e-06 5.385834e-06 3.076032e-06 1.3148249999999999e-05 6.3410299999999995e-06 1.3746450000000001e-05 7.021046e-06 9.507818e-06 6.378638e-06 6.628191999999999e-06 8.020949999999998e-06 1.0428238e-05 6.373218e-06 6.13575e-06 5.900423999999999e-06 1.2933709999999999e-05 9.623818e-06 1.2258688e-05 7.1773560000000006e-06 8.806062e-06 1.4843825999999996e-05 1.1777788e-05 1.0332032e-05 7.0683420000000005e-06 1.0291152000000001e-05 0.0 0.0 0.0
