 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 289.0 268.0 240.0 207.0 170.0 142.0 120.0 92.0 99.0 78.0 78.0 81.0 73.0 76.0 97.0 77.0 87.0 97.0 86.0 78.0 81.0 92.0 88.0 82.0 79.0 89.0 70.0 85.0 72.0 95.0 76.0 77.0 86.0 88.0 67.0 92.0 83.0 81.0 76.0 71.0 78.0 74.0 82.0 82.0 78.0 80.0 82.0 87.0 85.0 88.0 72.0 93.0 122.0 155.0 152.0 206.0 215.0 255.0 0.0
2 0.0 0.0 174.0 177.0 171.0 136.0 128.0 110.0 100.0 93.0 87.0 88.0 75.0 70.0 77.0 85.0 69.0 92.0 72.0 91.0 87.0 91.0 75.0 84.0 72.0 68.0 78.0 76.0 82.0 73.0 85.0 79.0 83.0 82.0 71.0 80.0 76.0 79.0 74.0 68.0 71.0 76.0 67.0 80.0 70.0 67.0 78.0 66.0 79.0 76.0 72.0 104.0 109.0 104.0 125.0 134.0 141.0 138.0 0.0 0.0
4 0.0 0.0 0.0 118.0 144.0 117.0 106.0 95.0 88.0 83.0 77.0 86.0 81.0 74.0 78.0 90.0 83.0 75.0 85.0 96.0 72.0 81.0 84.0 79.0 78.0 83.0 70.0 82.0 72.0 73.0 74.0 78.0 79.0 86.0 71.0 74.0 83.0 65.0 73.0 59.0 71.0 60.0 65.0 67.0 60.0 84.0 77.0 65.0 57.0 77.0 73.0 77.0 108.0 88.0 92.0 85.0 107.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 71.0 88.0 93.0 83.0 79.0 81.0 80.0 105.0 96.0 89.0 91.0 83.0 78.0 68.0 88.0 89.0 75.0 69.0 62.0 88.0 72.0 94.0 71.0 81.0 78.0 66.0 68.0 69.0 87.0 71.0 67.0 86.0 62.0 72.0 75.0 76.0 78.0 83.0 66.0 74.0 53.0 67.0 62.0 60.0 87.0 59.0 75.0 76.0 92.0 81.0 82.0 70.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 66.0 86.0 79.0 88.0 80.0 86.0 75.0 73.0 72.0 83.0 67.0 77.0 79.0 84.0 72.0 70.0 68.0 70.0 83.0 84.0 92.0 70.0 68.0 62.0 74.0 72.0 76.0 70.0 72.0 86.0 82.0 65.0 56.0 70.0 67.0 72.0 73.0 61.0 69.0 70.0 88.0 58.0 73.0 68.0 78.0 73.0 80.0 79.0 67.0 63.0 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 57.0 87.0 66.0 77.0 87.0 80.0 76.0 64.0 62.0 79.0 70.0 71.0 82.0 82.0 91.0 80.0 76.0 80.0 69.0 84.0 74.0 69.0 61.0 59.0 55.0 61.0 81.0 74.0 67.0 87.0 62.0 62.0 67.0 75.0 73.0 87.0 78.0 61.0 76.0 70.0 68.0 76.0 72.0 74.0 64.0 68.0 48.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 53.0 60.0 85.0 84.0 74.0 99.0 79.0 83.0 72.0 64.0 71.0 85.0 89.0 78.0 62.0 83.0 71.0 79.0 64.0 76.0 79.0 83.0 73.0 81.0 62.0 67.0 74.0 70.0 58.0 54.0 63.0 74.0 66.0 70.0 70.0 57.0 87.0 75.0 80.0 77.0 75.0 49.0 56.0 65.0 45.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 186.0 161.0 155.0 125.0 102.0 74.0 78.0 76.0 56.0 64.0 55.0 61.0 45.0 62.0 48.0 50.0 39.0 52.0 47.0 49.0 48.0 52.0 57.0 53.0 58.0 55.0 55.0 59.0 55.0 54.0 74.0 62.0 77.0 56.0 67.0 49.0 59.0 64.0 66.0 88.0 68.0 78.0 64.0 65.0 55.0 60.0 72.0 73.0 70.0 82.0 76.0 90.0 113.0 125.0 152.0 186.0 230.0 258.0 0.0
16 0.0 0.0 121.0 109.0 105.0 86.0 87.0 70.0 77.0 62.0 44.0 55.0 52.0 61.0 60.0 67.0 56.0 62.0 50.0 50.0 49.0 57.0 57.0 53.0 59.0 54.0 43.0 69.0 61.0 57.0 65.0 50.0 59.0 67.0 57.0 67.0 52.0 56.0 55.0 71.0 71.0 88.0 70.0 68.0 62.0 61.0 68.0 61.0 74.0 62.0 74.0 70.0 96.0 116.0 122.0 134.0 121.0 159.0 0.0 0.0
18 0.0 0.0 0.0 72.0 70.0 66.0 62.0 61.0 38.0 66.0 52.0 62.0 52.0 48.0 53.0 54.0 56.0 59.0 53.0 53.0 48.0 63.0 57.0 37.0 46.0 54.0 67.0 76.0 56.0 67.0 51.0 59.0 52.0 62.0 64.0 58.0 45.0 63.0 43.0 65.0 60.0 70.0 67.0 64.0 55.0 60.0 71.0 60.0 74.0 71.0 65.0 81.0 91.0 81.0 90.0 100.0 131.0 0.0 0.0 0.0
